Open,High,Low,Close,Volume
1.1086,1.10867,1.1086,1.10862,0.0
1.1086,1.10864,1.10859,1.1086,0.0
1.10859,1.10861,1.10859,1.10861,0.0
1.10862,1.10866,1.10861,1.10864,0.0
1.10864,1.10865,1.10864,1.10865,0.0
1.10865,1.10866,1.10864,1.10865,0.0
1.10867,1.10868,1.10862,1.10864,0.0
1.10865,1.10865,1.10864,1.10864,0.0
1.10864,1.1087,1.10863,1.10868,0.0
1.10868,1.10868,1.10865,1.10865,0.0
1.10867,1.10869,1.10865,1.10868,0.0
1.10868,1.10868,1.10866,1.10866,0.0
1.10866,1.10866,1.10863,1.10863,0.0
1.10864,1.10864,1.10863,1.10863,0.0
1.10864,1.10866,1.10863,1.10865,0.0
1.10864,1.10868,1.10864,1.10865,0.0
1.10864,1.10865,1.10859,1.10859,0.0
1.1086,1.1086,1.10853,1.10853,0.0
1.10853,1.10853,1.1085,1.1085,0.0
1.1085,1.1085,1.10843,1.10843,0.0
1.10843,1.10843,1.10835,1.10835,0.0
1.10833,1.10833,1.10829,1.1083,0.0
1.10831,1.10833,1.10822,1.10824,0.0
1.10823,1.10825,1.10822,1.10824,0.0
1.10824,1.10825,1.10823,1.10824,0.0
1.10823,1.10825,1.1082,1.1082,0.0
1.1082,1.10822,1.1081,1.10819,0.0
1.10819,1.1082,1.1081,1.1081,0.0
1.10812,1.10821,1.10812,1.10819,0.0
1.10817,1.10818,1.10814,1.10815,0.0
1.10815,1.10815,1.10809,1.1081,0.0
1.10812,1.10813,1.1081,1.1081,0.0
1.1081,1.10813,1.10809,1.10809,0.0
1.10809,1.1081,1.10804,1.10805,0.0
1.10805,1.10806,1.10799,1.10806,0.0
1.10805,1.10812,1.10804,1.10811,0.0
1.10811,1.10811,1.1081,1.1081,0.0
1.10811,1.10813,1.10811,1.10813,0.0
1.10813,1.1082,1.10813,1.10818,0.0
1.10818,1.1082,1.10817,1.10819,0.0
1.10818,1.10819,1.10812,1.10814,0.0
1.10813,1.10814,1.10804,1.10804,0.0
1.10805,1.10815,1.10805,1.10814,0.0
1.10814,1.10814,1.10811,1.10813,0.0
1.10813,1.10815,1.10809,1.10813,0.0
1.10814,1.10818,1.10814,1.10815,0.0
1.10815,1.1082,1.10814,1.10817,0.0
1.10817,1.1082,1.10813,1.10818,0.0
1.10819,1.10822,1.10818,1.10819,0.0
1.10821,1.10822,1.10807,1.10808,0.0
1.10809,1.1081,1.10808,1.10809,0.0
1.10808,1.10809,1.10808,1.10808,0.0
1.10808,1.1081,1.10802,1.10805,0.0
1.10804,1.10806,1.10803,1.10804,0.0
1.10803,1.10806,1.10803,1.10804,0.0
1.10804,1.10805,1.10804,1.10804,0.0
1.10803,1.10805,1.10803,1.10804,0.0
1.10805,1.10814,1.10805,1.10813,0.0
1.10811,1.10811,1.10807,1.10808,0.0
1.10808,1.10814,1.10807,1.10814,0.0
1.10814,1.10816,1.10814,1.10815,0.0
1.10814,1.10819,1.10814,1.10815,0.0
1.10815,1.1082,1.10814,1.10814,0.0
1.10817,1.10817,1.10809,1.1081,0.0
1.10811,1.10811,1.10804,1.10804,0.0
1.10804,1.10804,1.10804,1.10804,0.0
1.10803,1.10808,1.10803,1.10805,0.0
1.10805,1.10809,1.10804,1.10809,0.0
1.1081,1.10815,1.1081,1.10815,0.0
1.10814,1.10819,1.10808,1.10819,0.0
1.10821,1.10846,1.10819,1.10846,0.0
1.10846,1.10855,1.10845,1.1085,0.0
1.1085,1.1085,1.10841,1.10848,0.0
1.10848,1.10861,1.10846,1.10858,0.0
1.10858,1.10871,1.10857,1.10863,0.0
1.10864,1.10867,1.10861,1.10864,0.0
1.10863,1.10876,1.10861,1.10871,0.0
1.1087,1.10871,1.10857,1.10858,0.0
1.10857,1.10857,1.10842,1.10843,0.0
1.10843,1.10844,1.10832,1.10835,0.0
1.10835,1.10842,1.10834,1.10836,0.0
1.10834,1.10846,1.10833,1.10845,0.0
1.10845,1.1085,1.10845,1.1085,0.0
1.1085,1.10851,1.10844,1.10847,0.0
1.10847,1.1085,1.1084,1.1084,0.0
1.10841,1.10843,1.1084,1.10841,0.0
1.10841,1.10841,1.10832,1.10835,0.0
1.10834,1.1084,1.10834,1.10836,0.0
1.10836,1.10845,1.10836,1.10841,0.0
1.10842,1.10842,1.10829,1.10829,0.0
1.10829,1.10838,1.10827,1.10836,0.0
1.10835,1.10836,1.10825,1.10827,0.0
1.10828,1.1083,1.10822,1.10826,0.0
1.10827,1.10831,1.10826,1.10829,0.0
1.10828,1.10828,1.1082,1.10821,0.0
1.10821,1.10823,1.10814,1.10815,0.0
1.10814,1.10822,1.10813,1.10821,0.0
1.10822,1.10824,1.1082,1.1082,0.0
1.1082,1.1082,1.10819,1.10819,0.0
1.1082,1.10825,1.10819,1.10821,0.0
1.1082,1.10823,1.10819,1.10823,0.0
1.10823,1.10825,1.10823,1.10824,0.0
1.10824,1.10825,1.10822,1.10824,0.0
1.10823,1.10826,1.10823,1.10824,0.0
1.10824,1.10828,1.10823,1.10826,0.0
1.10825,1.10826,1.10825,1.10825,0.0
1.10825,1.1083,1.10825,1.1083,0.0
1.10832,1.10835,1.10829,1.10829,0.0
1.10829,1.10829,1.10825,1.10825,0.0
1.10825,1.10829,1.10825,1.10829,0.0
1.1083,1.10836,1.1083,1.10836,0.0
1.10836,1.10846,1.10836,1.10844,0.0
1.10844,1.10845,1.10836,1.10837,0.0
1.10836,1.10836,1.10835,1.10835,0.0
1.10834,1.10834,1.10829,1.10829,0.0
1.10829,1.10829,1.10819,1.10826,0.0
1.10824,1.10825,1.10823,1.10824,0.0
1.10823,1.10827,1.1082,1.10827,0.0
1.10828,1.10832,1.10828,1.1083,0.0
1.10831,1.10835,1.1083,1.10835,0.0
1.10836,1.10837,1.1083,1.10831,0.0
1.10831,1.10836,1.10824,1.10836,0.0
1.10836,1.10837,1.10824,1.10826,0.0
1.10827,1.10835,1.10825,1.10835,0.0
1.10835,1.10837,1.10831,1.10832,0.0
1.10833,1.10835,1.10826,1.10826,0.0
1.10826,1.10831,1.1082,1.1082,0.0
1.1082,1.10821,1.10813,1.10815,0.0
1.10815,1.10823,1.10815,1.10822,0.0
1.10822,1.10826,1.10821,1.10826,0.0
1.10825,1.10825,1.10821,1.10825,0.0
1.10825,1.10826,1.10823,1.10825,0.0
1.10825,1.10826,1.10824,1.10825,0.0
1.10825,1.10831,1.10825,1.10826,0.0
1.10825,1.10828,1.10825,1.10826,0.0
1.10827,1.10827,1.10821,1.10822,0.0
1.10821,1.10826,1.10821,1.10823,0.0
1.10823,1.10827,1.10823,1.10825,0.0
1.10825,1.10826,1.1082,1.10825,0.0
1.10824,1.10826,1.10817,1.1082,0.0
1.10819,1.10821,1.10815,1.10821,0.0
1.10821,1.10823,1.1082,1.10822,0.0
1.10821,1.10841,1.10821,1.10841,0.0
1.10842,1.10843,1.10825,1.10826,0.0
1.10826,1.10827,1.10825,1.10826,0.0
1.10826,1.10832,1.10822,1.10826,0.0
1.10827,1.10829,1.10818,1.10829,0.0
1.10829,1.10842,1.10829,1.10841,0.0
1.10842,1.10846,1.10841,1.10842,0.0
1.10841,1.10842,1.10832,1.10836,0.0
1.10837,1.10837,1.10822,1.10826,0.0
1.10827,1.10829,1.10817,1.10817,0.0
1.10818,1.10823,1.10812,1.10812,0.0
1.10812,1.10818,1.10809,1.10818,0.0
1.10819,1.10827,1.10818,1.10823,0.0
1.10822,1.10822,1.10811,1.10812,0.0
1.10812,1.10812,1.10807,1.10807,0.0
1.10807,1.10808,1.10802,1.10807,0.0
1.10805,1.10814,1.10802,1.10812,0.0
1.10812,1.10813,1.10804,1.10808,0.0
1.10808,1.1081,1.10807,1.10809,0.0
1.1081,1.10821,1.1081,1.10819,0.0
1.1082,1.10823,1.10816,1.10822,0.0
1.10823,1.10828,1.10823,1.10828,0.0
1.10828,1.10828,1.10823,1.10823,0.0
1.10823,1.10823,1.10823,1.10823,0.0
1.10823,1.10823,1.10816,1.10819,0.0
1.10819,1.10819,1.10816,1.10818,0.0
1.10818,1.10823,1.10818,1.10822,0.0
